leto,mesto,ime_tekmovalca,država,ekipa,čas
2014,1,Vincenzo Nibali,Italija,Astana,89:59:06
2014,2,Jean-Christophe Peraud,Francija,AG2R La Mondiale,7:37
2014,3,Thibaut Pinot,Francija,FDJ.fr ,8:15
2014,4,Alejandro Valverde,Španija,Movistar Team,9:40
2014,5,Tejay van Garderen,ZDA,BMC Racing Team,11:24
2014,6,Romain Bardet,Francija,AG2R La Mondiale,11:26
2014,7,Leopold König,Češka,NetApp Endura,14:32
2014,8,Haimar Zubeldia,Španija,Trek Factory Racing ,17:57
2014,9,Laurens ten Dam,Nizozemska,Belkin Pro Cycling,18:11
2014,10,Bauke Mollema,Nizozemska,Belkin Pro Cycling,21:15
2014,11,Pierre Rolland,Francija,Team Europcar,23:07
2014,12,Fränk Schleck,Luksemburg,Trek Factory Racing ,25:48
2014,13,Jurgen van den Broeck,Belgija,Lotto-Belisol ,34:01
2014,14,Yuri Trofimov,Rusija,Team Katusha ,36:41
2014,15,Steven Kruijswijk,Nizozemska,Belkin Pro Cycling,38:15
2014,16,Brice Feillu,Francija,Bretagne-Séché Environnement,43:59
2014,17,Chris Horner,ZDA,Lampre-Merida,44:31
2014,18,Mikel Nieve,Španija,Team Sky,46:31
2014,19,John Gadret,Francija,Movistar Team,47:30
2014,20,Tanel Kangert,Estonija,Astana,52:11
2014,21,Ben Gastauer,Luksemburg,AG2R La Mondiale,58:00
2014,22,Geraint Thomas,Velika Britanija,Team Sky,59:14
2014,23,Richie Porte,Avstralija,Team Sky,1:01:08
2014,24,Jan Bakelants,Belgija,Omega Pharma-Quick-Step,1:06:28
2014,25,Cyril Gautier,Francija,Team Europcar,1:08:47
2014,26,Michael Rogers,Avstralija,Tinkoff-Saxo,1:17:53
2014,27,Peter Velits,Slovaška,BMC Racing Team,1:19:38
2014,28,Michal Kwiatkowski,Poljska,Omega Pharma-Quick-Step,1:21:55
2014,29,Tony Gallopin,Francija,Lotto-Belisol ,1:29:24
2014,30,Arnold Jeannesson,Francija,FDJ.fr ,1:33:27
2014,31,Luis Ángel Maté,Španija,Cofidis,1:36:52
2014,32,Marcel Wyss,Švica,IAM Cycling,1:38:27
2014,33,Tom Dumoulin,Nizozemska,Giant-Shimano,1:48:00
2014,34,Sylvain Chavanel,Francija,IAM Cycling,1:48:13
2014,35,Peter Stetina,ZDA,BMC Racing Team,1:52:36
2014,36,Jakob Fuglsang,Danska,Astana,1:54:50
2014,37,Giovanni Visconti,Italija,Movistar Team,1:56:28
2014,38,Greg Van Avermaet,Belgija,BMC Racing Team,1:56:34
2014,39,Nicolas Roche,Irska,Tinkoff-Saxo,1:58:45
2014,40,Bram Tankink,Nizozemska,Belkin Pro Cycling,1:59:02
2014,41,Ion Izagirre,Španija,Movistar Team,2:00:50
2014,42,Thomas Voeckler,Francija,Team Europcar,2:08:38
2014,43,Michael Schar,Švica,BMC Racing Team,2:09:43
2014,44,Rafał Majka,Poljska,Tinkoff-Saxo,2:17:53
2014,45,Amaël Moinard,Francija,BMC Racing Team,2:19:13
2014,46,Kristijan Durasek,Hrvaška,Lampre-Merida,2:21:18
2014,47,Tony Martin,Nemčija,Omega Pharma-Quick-Step,2:25:35
2014,48,Jose Rodolfo Serpa,Kolumbija,Lampre-Merida,2:29:06
2014,49,Michele Scarponi,Italija,Astana,2:31:40
2014,50,Paul Voss,Nemčija,NetApp Endura,2:32:48
2014,51,Rudy Molard,Francija,Cofidis,2:34:22
2014,52,Alessandro De Marchi,Italija,Cannondale ,2:34:54
2014,53,Benjamin King,ZDA,Garmin Sharp,2:41:59
2014,54,Joaquim Rodríguez,Španija,Team Katusha ,2:45:17
2014,55,Michal Golas,Poljska,Omega Pharma-Quick-Step,2:49:03
2014,56,Tom-Jelte Slagter,Nizozemska,Garmin Sharp,2:49:20
2014,57,Jérémy Roy,Francija,FDJ.fr ,2:49:28
